PPID,Culture,Language,function_Dic_mean,pronoun_Dic_mean,ppron_Dic_mean,i_Dic_mean,we_Dic_mean,you_Dic_mean,shehe_Dic_mean,they_Dic_mean,ipron_Dic_mean,article_Dic_mean,prep_Dic_mean,auxverb_Dic_mean,adverb_Dic_mean,conj_Dic_mean,negate_Dic_mean,verb_Dic_mean,adj_Dic_mean,compare_Dic_mean,interrog_Dic_mean,number_Dic_mean,quant_Dic_mean,affect_Dic_mean,posemo_Dic_mean,negemo_Dic_mean,anx_Dic_mean,anger_Dic_mean,sad_Dic_mean,social_Dic_mean,family_Dic_mean,friend_Dic_mean,female_Dic_mean,male_Dic_mean,cogproc_Dic_mean,insight_Dic_mean,cause_Dic_mean,discrep_Dic_mean,tentat_Dic_mean,certain_Dic_mean,differ_Dic_mean,percept_Dic_mean,see_Dic_mean,hear_Dic_mean,feel_Dic_mean,bio_Dic_mean,body_Dic_mean,health_Dic_mean,sexual_Dic_mean,ingest_Dic_mean,drives_Dic_mean,affiliation_Dic_mean,achieve_Dic_mean,power_Dic_mean,reward_Dic_mean,risk_Dic_mean,focuspast_Dic_mean,focuspresent_Dic_mean,focusfuture_Dic_mean,relativ_Dic_mean,motion_Dic_mean,space_Dic_mean,time_Dic_mean,work_Dic_mean,leisure_Dic_mean,home_Dic_mean,money_Dic_mean,relig_Dic_mean,death_Dic_mean,informal_Dic_mean,swear_Dic_mean,netspeak_Dic_mean,assent_Dic_mean,nonflu_Dic_mean,filler_Dic_mean,we.i_mean,we.i_Dic_mean,future.past_mean,future.past_Dic_mean
002FA2F1EB29A4007B06D2C42E97AA6D3D76C45AF1F452A82DC7CC0786779EDE,1,2,64.73083621,21.16255062,11.60579685,4.965739526,0.514960171,2.606038905,2.979541887,0.536875047,9.559365009,6.339138866,9.850884792,10.14570682,9.982296816,11.5264164,3.330536942,17.81349189,4.413179537,1.940971285,1.343341026,0.894748061,2.947570594,5.690487156,4.082977194,1.568850169,0.441019163,0,0.709304767,12.62664997,0.086170879,0.577993705,0.524970214,2.653381183,19.02572936,3.996940325,2.144771922,1.310270655,5.35706236,2.147519666,6.68207661,2.112270676,0.561681407,0.548937103,1.001652167,0.377460972,0.176513447,0.114776645,0,0.086170879,5.36918492,2.065498007,0.46495097,1.506389888,1.203151551,0.468067738,6.202471104,10.7993344,1.981394578,13.91793122,1.47908276,5.251557464,7.505742789,2.682073338,0.439348848,0.488571458,0.26700709,0,0.04177982,4.305732557,0,0,3.720541133,0.555177156,0.04177982,0.127056984,0.127056984,0.326541452,0.326541452
0067005C9296610E847338C0F6FFCB59C6E8950ED6FE05676FEF403F4CE5FDB4,1,2,70.6429676,25.92755062,12.68818223,5.613932292,0.366649433,4.799850757,1.380885875,0.52953653,13.23936839,5.059902662,9.001035655,13.19261356,10.23249264,9.702153667,3.619193559,21.54882902,3.118057789,1.746775068,1.420718721,1.386308738,1.994135486,4.683924788,2.907286526,1.776638262,0.23260727,0.382617742,0.272965251,12.15784596,0.073560319,0.21736402,1.098568133,0.980252957,15.3749023,3.035345417,1.056075304,1.385404976,2.6980739,1.307492244,7.196719182,3.570416775,0.813782904,1.573623493,1.082813541,0.966983483,0.315554598,0.499751703,0,0.151677182,4.789329181,0.804211676,1.090311032,1.324805801,1.280699429,0.781548086,7.051314989,12.60877035,1.536180657,12.88475677,2.286065507,5.382395853,5.401596123,0.771441072,0.155521777,0.238022223,0.583097656,0.06373419,0,4.614079604,0.040089801,0.256379266,3.38184556,0.751286301,0.085999992,0.066856073,0.066856073,0.249333616,0.249333616
0199C58646CAB9542B51141727EB8BEB589BBAF776E3833AD9436AE00D93C045,1,2,67.78810045,22.23440756,10.83562737,5.538196607,0.839139443,1.97006323,2.146785375,0.341404779,11.39878835,6.564328612,12.29287289,11.03025803,9.603476751,10.70905076,2.185497904,19.25196722,4.362469714,2.755752898,1.754809814,1.487382053,2.268002418,4.829785587,2.879297362,1.676262714,0.232342636,0.55262514,0.117342597,12.19047413,0.217425338,1.279095016,1.519388632,1.280909685,14.83532993,2.837266506,2.485690775,1.434745174,3.053846875,1.854363586,4.49546893,2.752514184,0.801256588,0.843905175,0.986823683,0.827518554,0.260448601,0.459933371,0.044243181,0.055043659,7.307232439,2.587587616,1.167423282,2.195189487,1.176272155,0.569555951,6.566675762,11.64832764,1.712525968,13.79526348,1.511446634,5.705969176,6.729028701,2.004975198,0.296193561,0.112332184,0.081199513,0.01566416,0,2.7050778,0.031230481,0.070650776,1.730824677,0.355198086,0.123042976,0.186788045,0.186788045,0.274245588,0.274245588
0639253B4C3A1C197A238ADA205373EB69415338B02360FE353BFBBBC0CC945D,1,2,69.01108852,25.14596022,12.8404677,7.064444283,0.493568335,1.487212596,2.936390443,0.856048473,12.28609754,5.147631124,10.29810852,10.73919149,8.70675101,11.66332228,3.185838851,19.13057382,3.858133621,1.880715237,1.939976924,1.228908325,2.469436515,4.634948765,3.034611497,1.563990817,0.472836168,0.26672502,0.330214921,11.20705953,0.440585799,0.21892191,0.848629766,2.419816382,14.69037368,3.024269437,2.227279997,1.055133541,2.325035882,1.94607289,5.301247905,3.44783772,0.41292822,1.541260978,1.347082355,1.048594877,0.279664795,0.382524197,0,0.373563038,5.383051863,1.535038213,0.653446803,1.711518492,1.129829913,0.550515772,3.589302072,13.56894549,2.33418525,13.57010781,1.803448597,6.037744329,5.82174198,0.951148409,0.580927915,0.740716628,0.358739636,0.058368032,0.138934616,3.388112308,0.04679586,0.58883625,2.137982525,0.499533121,0.022021581,0.084314792,0.084314792,0.699926439,0.699926439
0957356EF83B67D6268CD69E577C4D087924D0D1610CB819D645E742A7744D33,1,2,69.56060148,22.94637461,12.21077504,6.026712348,1.494381098,2.177077685,0.983588167,1.53161561,10.59808775,5.469216164,11.28584381,12.74108955,9.006462894,10.81209191,3.316931276,21.75820092,4.362716643,2.821694762,1.335445304,0.982648324,2.608754056,4.292936049,2.994592591,1.272372131,0.218230121,0.329444999,0.189559476,11.30794569,0.553768441,0.533140504,0.835318594,0.452434005,16.03719322,2.540729068,1.553450253,2.062088778,2.911675216,1.995608802,6.630766085,2.473003916,0.698599664,1.306727233,0.454735551,1.565147031,0.374346772,0.64795616,0,0.527290913,6.769798876,2.565839712,1.133261969,1.571330711,1.312679493,0.610237222,4.233503063,16.8687193,2.376974434,14.09475476,2.33388215,4.922975309,7.090243153,1.298623325,0.881766499,0.667486499,0.550598437,0.062297812,0,3.005934647,0.046641791,0.212842632,1.943304438,0.81884266,0.046641791,0.289412559,0.289412559,0.587921461,0.587921461
09658E00C45E3507AB588D57878F4E7BFB2FF10042C4E85C79C5A2127C596FEC,1,2,69.85914644,25.7764573,11.92193901,6.47465199,0.31730409,2.599197346,0.959772295,1.571027669,13.79551867,4.230475728,10.47180155,11.28535613,8.29199002,11.8807741,3.840908786,19.93103765,3.754428612,3.056659409,2.031127401,0.702191098,2.204981166,5.574888297,3.937557393,1.41967987,0.117484962,0.201871046,0.553866817,10.47272215,0.227922747,0.355456713,0.673703059,0.375886523,21.64479298,3.823234093,2.149149815,2.1181805,6.601311494,2.166180078,8.203098573,3.163863944,0.485910156,1.575669923,1.058837802,0.271197405,0.13030471,0.087046541,0,0.056410256,4.759412696,0.997824789,1.601312655,0.611931185,1.59105153,0.492792111,5.873461724,12.71634365,1.982768138,11.23816121,1.29997433,4.172180278,6.019526851,1.212746579,0.584912275,0.227922747,0.11495898,0.030794498,0,4.807367431,0,0,3.97959946,0.799737545,0.058841413,0.04717365,0.04717365,0.372639958,0.372639958
0AF31C43F184A4CEC3CC6C3B3F6E9BDB92F17BD1DF30F636D5CBC8BC28FFA538,1,2,68.31865447,23.04117909,10.53698168,6.779680074,0.80799962,1.405065129,0.581262362,0.968157021,12.48076724,6.054137313,12.25772137,11.41537411,9.923696106,9.749156231,2.019510341,18.72746427,4.060483794,2.234911864,1.37979312,1.065180836,2.374027585,5.392681468,3.970624343,1.330822968,0.154146542,0.263618929,0.393034445,7.321190529,0.039201338,0.143295105,0.406535621,0.174726742,16.7263092,3.84895553,2.14174264,2.160804454,3.140039471,1.638873882,5.179448112,3.441892259,0.502248174,1.125153542,1.635983313,0.465696574,0.16765679,0.274609607,0,0.023430178,5.827613618,1.532213649,1.656043055,1.390001528,1.327720283,0.480739428,8.489080355,9.078181755,1.509966803,12.76152162,1.457083534,5.4311541,5.980598726,2.026840097,0.049121268,0.184646672,0.023430178,0.02569109,0,4.185458349,0,0.023430178,3.68117806,0.541220715,0.06546201,0.13804361,0.13804361,0.183455528,0.183455528
0B42F091DFEE1A6CEE5AEB8C3ECC28747474D60BCA2D9253E5B7A8F83A977640,1,2,70.41958649,22.97597776,12.7283283,6.289974246,1.440230874,1.77935578,1.685040209,1.533732775,10.22193114,5.236955245,10.58205654,11.88406163,9.877658758,12.82817974,3.130891241,20.70705359,3.159800418,1.870921027,1.740018585,0.656317899,2.100511446,4.512351101,3.258376003,1.233364506,0.033550119,0.362853593,0.587201247,12.27978951,0.445259856,0.190506243,0.83840293,1.127115603,14.48386407,2.47428205,2.062132429,1.640256419,2.162144489,2.078150402,5.279133789,3.555637871,0.679796134,1.848862601,0.826020637,0.591854255,0.301048896,0.090051342,0.020601566,0.180152451,5.488165461,2.485367893,0.638708404,1.116898115,1.131129465,0.314135203,7.989730503,11.74908186,2.463771023,14.42429637,2.125967605,5.370609024,7.27789235,1.808431905,0.918998499,0.470969441,0.149498567,0.051427103,0,3.876777889,0.041203131,0.254767947,2.790418256,0.903421203,0.136420194,0.384434065,0.384434065,0.312776582,0.312776582
0BD739007FDDC4D68DFECFE1BE72329A44CCAD0A04803F1BB5F07773653A0A90,1,2,72.04020423,26.30279826,13.46696803,6.699625912,1.090459451,1.837274886,2.913353186,0.92888253,12.8097986,4.274254265,10.67491487,13.47379934,10.48053957,11.47704105,2.849274912,22.01355135,2.615828807,1.869790349,1.367151737,0.994006918,1.732257992,5.105951376,3.527252873,1.539664719,0.239009279,0.323908459,0.251329128,11.14854843,0.442503467,0.214592027,1.791570403,1.730766551,15.53223021,2.84103426,1.832853533,1.536407886,3.025400339,1.610643895,6.040133557,3.095485114,0.838023321,1.459177577,0.675954758,0.843082931,0.288831664,0.200257001,0,0.333163103,5.047742409,1.645232977,0.824023769,1.020280202,1.129148961,0.696480783,7.934082338,12.96246163,1.744803668,11.9926442,2.374434762,4.609391264,5.498025496,1.11927994,0.228664117,0.179262985,0.090738674,0.018202621,0.039033785,3.329273158,0,0.134972116,2.473104643,0.835416964,0.018202621,0.234749667,0.234749667,0.361580842,0.361580842
0C28CBB75B05D1DD6987F3CEE1A160B02DE8C7DA9DC7102EFA2BEAEB9DC56E85,1,2,67.5295879,22.53059817,10.96412878,6.2242217,0.379626292,2.446348454,1.119856465,0.796714395,11.49596488,5.900301033,10.60918084,11.54569358,9.93135415,10.21508839,3.4482605,18.44933138,4.228951101,2.540671259,1.200674838,1.354412972,2.293036275,5.62631795,3.808356045,1.789507722,0.296367637,0.709554824,0.201697902,9.69229017,0.408182434,0.34162938,0.893011818,0.574156528,17.14422995,2.678647935,2.172528871,1.814980198,4.294109571,1.78909528,6.382049205,2.370370201,0.497912901,0.614194165,1.219575434,1.303395713,0.872845916,0.137882922,0,0.264378732,6.708278086,2.053679095,1.153193707,1.427672753,2.071159091,0.390554233,7.49848069,10.12362056,1.883840328,13.05031886,1.601369162,5.150798297,6.337777889,2.236385652,0.729194075,0.084432718,0.197977539,0.06190072,0,4.966705255,0.06190072,0.454215945,3.783856365,0.513237321,0.200869656,0.060264727,0.060264727,0.254956904,0.254956904
